State,Severity,crashes,cars,dist
AL,2.128351102,19322,2035376,1.129311665
AR,2.256241427,10935,872437,1.52108706
AZ,2.069552598,56504,2410018,0.766406131
CA,2.041998171,795868,14201400,0.521233525
CO,2.662273086,25340,1639028,1.14081322
CT,2.265035952,29762,1211171,1.185638364
DC,2.190955874,9133,210297,0.388685864
DE,2.502271789,4842,415915,0.769075176
FL,2.069359323,401388,7841553,0.583641519
GA,2.519533004,40086,3495421,1.003417627
IA,2.356719059,9607,1163751,2.194138857
ID,2.11821161,8544,588362,1.386273876
IL,2.548880161,47105,4161655,0.426784312
IN,2.461534772,20850,2123748,1.475002254
KS,2.219971217,9033,889083,0.876083472
KY,2.345736668,6638,1644497,0.878747665
LA,2.054306402,47232,1315691,0.654238715
MA,2.361702128,6392,2003373,0.644931633
MD,2.311792272,65085,1823553,0.795330445
ME,2.103967168,2193,356079,0.804705426
MI,2.335994343,43843,2691704,0.734783455
MN,2.047085456,97185,1841690,0.765285065
MO,2.246583201,29633,1991376,0.688071036
MS,2.19924812,5320,788425,1.050435526
MT,2.037396642,15964,459081,1.659832435
NC,2.118364309,91362,3398470,0.550728826
ND,2.011957484,2258,215654,1.721553587
NE,2.315963855,3320,624907,1.456585843
NH,2.127263321,3866,460825,0.527330833
NJ,2.24138974,52902,2541125,0.782015425
NM,2.37721519,2370,623955,2.240521097
NV,2.226077134,6197,1027503,1.207112151
NY,2.216198206,108049,4232748,0.82535209
OH,2.486623786,24409,4247843,0.731686509
OK,2.191119691,8806,1223848,0.231991597
OR,2.07370529,126341,1440848,0.960727768
PA,2.20344086,99975,4043715,0.990391648
RI,2.155695349,4451,381767,0.653336329
SC,2.050226417,89216,1767348,0.548079246
SD,2.467661692,201,325001,2.348144279
TN,2.081253683,52613,2115632,0.792432707
TX,2.184940652,149037,8088058,0.549186866
UT,2.07289655,49193,902723,0.708529933
VA,2.176650372,113535,3057254,0.991188611
VT,2.397260274,365,193407,1.071427397
WA,2.305062358,32554,2800370,0.704274744
WI,2.835233029,7896,1901497,0.718803571
WV,2.185927673,7632,508663,1.157153564
WY,2.571717172,990,191332,5.977379798
